Column Name				Unit				Description

pl_name								Planet Name
hostname								Host Name
pl_letter								Planet Letter
hd_name								HD ID
hip_name								HIP ID
tic_id								TIC ID
gaia_id								GAIA ID
default_flag								Default Parameter Set
sy_snum								Number of Stars
sy_pnum								Number of Planets
sy_mnum								Number of Moons
cb_flag								Circumbinary Flag
discoverymethod								Discovery Method
disc_year								Discovery Year
disc_refname								Discovery Reference
disc_pubdate								Discovery Publication Date
disc_locale								Discovery Locale
disc_facility								Discovery Facility
disc_telescope								Discovery Telescope
disc_instrument								Discovery Instrument
rv_flag								Detected by Radial Velocity Variations
pul_flag								Detected by Pulsar Timing Variations
ptv_flag								Detected by Pulsation Timing Variations
tran_flag								Detected by Transits
ast_flag								Detected by Astrometric Variations
obm_flag								Detected by Orbital Brightness Modulations
micro_flag								Detected by Microlensing
etv_flag								Detected by Eclipse Timing Variations
ima_flag								Detected by Imaging
dkin_flag								Detected by Disk Kinematics
soltype								Solution Type
pl_controv_flag								Controversial Flag
pl_refname								Planetary Parameter Reference
pl_orbper				days				Orbital Period
pl_orbpererr1				days				Orbital Period Upper Unc.
pl_orbpererr2				days				Orbital Period Lower Unc.
pl_orbperlim								Orbital Period Limit Flag
pl_orbsmax				au				Orbit Semi-Major Axis
pl_orbsmaxerr1				au				Orbit Semi-Major Axis Upper Unc.
pl_orbsmaxerr2				au				Orbit Semi-Major Axis Lower Unc.
pl_orbsmaxlim								Orbit Semi-Major Axis Limit Flag
pl_rade				Earth Radius				Planet Radius
pl_radeerr1				Earth Radius				Planet Radius Upper Unc.
pl_radeerr2				Earth Radius				Planet Radius Lower Unc.
pl_radelim								Planet Radius Limit Flag
pl_radj				Jupiter Radius				Planet Radius
pl_radjerr1				Jupiter Radius				Planet Radius Upper Unc.
pl_radjerr2				Jupiter Radius				Planet Radius Lower Unc.
pl_radjlim								Planet Radius Limit Flag
pl_masse				Earth Mass				Planet Mass
pl_masseerr1				Earth Mass				Planet Mass Upper Unc.
pl_masseerr2				Earth Mass				Planet Mass Lower Unc.
pl_masselim				Earth Mass				Planet Mass Limit Flag
pl_massj				Jupiter Mass				Planet Mass
pl_massjerr1				Jupiter Mass				Planet Mass Upper Unc.
pl_massjerr2				Jupiter Mass				Planet Mass Lower Unc.
pl_massjlim				Jupiter Mass				Planet Mass Limit Flag
pl_msinie				Earth Mass				Planet Mass*sin(i)
pl_msinieerr1				Earth Mass				Planet Mass*sin(i) Upper Unc.
